id,player_name,appearances_time, field_goal_percentage ,shots_made,shots_try, three_pointer_percentage ,three_shots_made,three_shots_try, free_throws_percentage ,free_throw_made,free_throws_try,rebounds,assists,steals,blocks,turnovers,fouls,scores,is_allstar
683,Thaddeus Young,32.2,0.49,5.2,10.7,0.32,0.7,2.2,0.6,0.7,1.1,6.3,1.9,1.7,0.4,1.3,2.2,11.8,0
390,Robin Lopez,26.4,0.53,5.3,10.1,0.29,0.1,0.2,0.76,1.1,1.4,4.5,1.9,0.2,0.8,1.7,1.7,11.8,0
496,Kelly Oubre Jr.,27.5,0.4,3.9,9.8,0.34,1.6,4.6,0.82,2.4,2.9,4.5,1.2,1,0.4,1.1,2.9,11.8,0
64,foreign_player,27.9,0.45,4.4,9.9,0.39,1.7,4.2,0.84,1.3,1.5,2.9,3.3,0.9,0.2,1.6,2.2,11.8,0
20,Trevor Ariza,33.9,0.41,4,9.7,0.37,2.5,6.9,0.85,1.1,1.3,4.4,1.6,1.5,0.2,0.8,2,11.7,0
337,Tyler Johnson,28.5,0.44,4.3,9.9,0.37,1.7,4.5,0.82,1.5,1.8,3.4,2.3,0.8,0.5,1.1,2.1,11.7,0
563,Domantas Sabonis,24.5,0.51,4.6,8.9,0.35,0.2,0.5,0.75,2.3,3,7.7,2,0.5,0.4,1.9,3,11.6,0
38,Nicolas Batum,31,0.42,4.2,10.2,0.34,1.4,4.3,0.83,1.7,2,4.8,5.5,1,0.4,2,1.1,11.6,0
35,J.J. Barea,23.2,0.44,4.4,10,0.37,1.7,4.5,0.78,1.2,1.5,2.9,6.3,0.5,0,2.1,1.2,11.6,0
207,De'Aaron Fox,27.8,0.41,4.5,10.9,0.31,0.6,2.1,0.72,1.9,2.7,2.8,4.4,1,0.3,2.4,2.2,11.6,0
493,Kelly Olynyk,23.4,0.5,4.2,8.4,0.38,1.4,3.7,0.77,1.8,2.3,5.7,2.7,0.8,0.5,1.9,2.9,11.5,0
451,Markieff Morris,27,0.48,4.5,9.4,0.37,1,2.8,0.82,1.4,1.8,5.6,1.9,0.8,0.5,1.7,3,11.5,0
218,Rudy Gay,21.6,0.47,4.4,9.4,0.31,0.6,2.1,0.77,2,2.5,5.1,1.3,0.8,0.7,1.4,1.7,11.5,0
302,Joe Ingles,31.4,0.47,4.1,8.8,0.44,2.5,5.7,0.8,0.8,1,4.2,4.8,1.1,0.2,1.9,2.2,11.5,0
634,Dwyane Wade,22.9,0.44,4.5,10.2,0.29,0.5,1.7,0.71,2,2.8,3.8,3.4,0.9,0.7,2.1,1.9,11.4,0
560,Terry Rozier,25.9,0.4,4,10,0.38,1.9,5,0.77,1.4,1.9,4.7,2.9,1,0.2,1,1.5,11.3,0
94,Reggie Bullock,27.9,0.49,4.3,8.8,0.45,2,4.5,0.8,0.6,0.8,2.5,1.5,0.8,0.2,0.8,1.1,11.3,0
184,Wayne Ellington,26.5,0.41,3.7,9.1,0.39,2.9,7.5,0.86,0.9,1,2.8,1,0.7,0.1,0.7,1.2,11.2,0
350,Frank Kaminsky,23.2,0.43,3.9,9.1,0.38,1.3,3.5,0.8,2,2.5,3.6,1.6,0.5,0.2,0.8,1.2,11.1,0
234,Draymond Green,32.7,0.45,4,8.8,0.3,1.1,3.7,0.78,1.9,2.5,7.6,7.3,1.4,1.3,2.9,2.6,11,1
245,Montrezl Harrell,17,0.64,4.6,7.2,0.14,0,0.1,0.63,1.8,2.9,4,1,0.5,0.7,0.9,1.9,11,0
84,Dillon Brooks,28.7,0.44,4.1,9.4,0.36,1.1,3.2,0.75,1.5,2,3.1,1.6,0.9,0.2,1.5,2.8,11,0
299,foreign_player,25.1,0.45,4,8.9,0.36,1.3,3.7,0.78,1.5,2,5.9,1.3,0.9,0.4,1,2.3,10.9,0
584,Ish Smith,24.9,0.49,4.7,9.8,0.35,0.4,1.2,0.7,1,1.4,2.7,4.4,0.8,0.2,1.3,1.7,10.9,0
330,James Johnson,26.6,0.5,4.2,8.4,0.31,0.8,2.5,0.7,1.5,2.2,4.9,3.8,1,0.7,1.9,2.6,10.8,0
250,Joe Harris,25.3,0.49,3.9,8,0.42,1.9,4.6,0.83,1.1,1.3,3.3,1.6,0.4,0.3,1.2,2,10.8,0
237,Jeff Green,23.4,0.48,3.8,7.9,0.31,0.7,2.2,0.87,2.6,3,3.2,1.3,0.5,0.4,1,1.9,10.8,0
374,Damion Lee,26.9,0.41,4.1,10.1,0.25,1,4,0.76,1.5,1.9,4.7,1.9,1.3,0.1,0.9,1.7,10.7,0
129,John Collins,24.1,0.58,4.2,7.4,0.34,0.2,0.6,0.72,1.8,2.5,7.3,1.3,0.6,1.1,1.4,2.9,10.5,0
236,JaMychal Green,28,0.46,4.1,8.9,0.34,0.8,2.3,0.72,1.5,2,8.4,1.4,0.6,0.5,1.4,2.8,10.3,0
144,Jamal Crawford,20.7,0.42,3.9,9.3,0.33,1.3,3.9,0.9,1.3,1.4,1.2,2.3,0.5,0.1,1.2,1.1,10.3,0
34,Lonzo Ball,34.2,0.36,3.9,10.8,0.31,1.7,5.7,0.45,0.6,1.4,6.9,7.2,1.7,0.8,2.6,2.3,10.2,0
624,Denzel Valentine,27.2,0.42,3.9,9.4,0.39,1.9,4.8,0.75,0.5,0.7,5.1,3.2,0.8,0.1,1.3,2.4,10.2,0
582,Marcus Smart,29.9,0.37,3.5,9.5,0.3,1.4,4.6,0.73,1.8,2.5,3.5,4.8,1.3,0.4,2.4,2.5,10.2,0
202,Yogi Ferrell,27.8,0.43,3.8,8.9,0.37,1.6,4.4,0.8,1,1.3,3,2.5,0.8,0.1,1,1.9,10.2,0
27,D.J. Augustin,23.5,0.45,3.3,7.2,0.42,1.5,3.6,0.87,2.2,2.5,2.1,3.8,0.7,0,1.6,1.3,10.2,0
217,Pau Gasol,23.5,0.46,3.7,8.1,0.36,0.6,1.6,0.76,2.1,2.7,8,3.1,0.3,1,1.4,1.6,10.1,0
158,Dewayne Dedmon,24.9,0.52,4,7.7,0.36,0.8,2.3,0.78,1.1,1.4,7.9,1.5,0.6,0.8,1.4,2.6,10,0
118,Wilson Chandler,31.7,0.45,3.8,8.5,0.36,1.2,3.3,0.77,1.2,1.5,5.4,2.1,0.6,0.5,1.2,2.1,10,0
276,George Hill,27,0.46,3.5,7.7,0.42,1.3,3.1,0.79,1.6,2.1,2.7,2.8,0.9,0.4,1.3,1.9,10,0
429,C.J. Miles,19.1,0.38,3.2,8.6,0.36,2.3,6.5,0.84,1.2,1.4,2.2,0.8,0.5,0.3,0.6,1.9,10,0
432,Patty Mills,25.7,0.41,3.4,8.3,0.37,1.9,5,0.89,1.3,1.4,1.9,2.8,0.7,0.1,1.3,1.6,10,0
395,Trey Lyles,19.1,0.49,3.7,7.5,0.38,1.1,3,0.71,1.4,2,4.8,1.2,0.4,0.5,0.8,1.5,9.9,0
640,Tyrone Wallace,28.4,0.45,3.7,8.2,0.25,0.3,1.3,0.78,2,2.6,3.5,2.4,0.9,0.4,1.5,2.8,9.7,0
146,Jae Crowder,26.1,0.4,3.4,8.4,0.32,1.4,4.3,0.82,1.5,1.9,3.4,1.2,0.8,0.3,0.9,2.3,9.7,0
272,Mario Hezonja,22.1,0.44,3.6,8.2,0.34,1.2,3.6,0.82,1.1,1.4,3.7,1.4,1.1,0.4,1.1,1.8,9.6,0
665,Marvin Williams,25.7,0.46,3.3,7.2,0.41,1.6,3.9,0.83,1.3,1.6,4.7,1.2,0.7,0.5,0.8,1.5,9.5,0
605,foreign_player,25.2,0.42,3.4,8,0.38,2,5.2,0.85,0.9,1,2.8,4.6,0.5,0.1,2.2,2.3,9.5,0
136,Quinn Cook,22.4,0.48,3.7,7.6,0.44,1.4,3.2,0.88,0.7,0.8,2.5,2.7,0.4,0,1,1.8,9.5,0
256,Andrew Harrison,23.7,0.42,3.2,7.7,0.33,0.8,2.5,0.78,2.2,2.8,2.3,3.2,0.7,0.5,1.4,2.5,9.5,0
11,Al0Farouq Aminu,30,0.4,3.3,8.4,0.37,1.8,4.9,0.74,0.9,1.2,7.6,1.2,1.1,0.6,1.1,2,9.3,0
14,Ryan Anderson,26.1,0.43,3.1,7.3,0.39,2,5.1,0.77,1.1,1.4,5,0.9,0.4,0.3,0.6,1.9,9.3,0
318,Mike James,19.1,0.38,3.4,8.9,0.27,0.7,2.7,0.76,1.8,2.3,2.5,3.5,0.8,0.2,1.4,1.3,9.3,0
571,Wayne Selden,19.8,0.43,3.3,7.7,0.4,1.4,3.5,0.75,1.3,1.7,1.6,1.9,0.5,0.1,1.5,1.7,9.3,0
594,Lance Stephenson,22.6,0.43,3.7,8.6,0.29,0.8,2.8,0.66,1,1.5,5.2,2.9,0.6,0.2,1.6,2.2,9.2,0
